                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.0026,                 645.77,                 5.5168,                      0,                      0,                      0,                      0,                 6.7035,                 5.7649,                 4.1579,               0.070242,              0.0033065,              0.0033065
                      1,                 3.2374,                 4.2395,                 2.4714,                0.09526,                 0.9837,                0.10522,                0.04056,                 2.6615,                 3.1282,                  2.512,               0.040176,              0.0065741,              0.0065741
                      2,                 2.3259,                 1.8179,                 1.3666,                0.91714,                0.94565,                 0.9681,                0.26119,                 2.6679,                 2.9516,                 1.8695,               0.010044,              0.0097757,              0.0097757
                      3,                 1.8275,                  1.198,                 1.1138,                0.68297,                0.88587,                0.87398,                0.51548,                 1.4936,                 1.1906,                 1.3457,               0.009703,               0.009703,               0.009703
                      4,                 1.5933,                0.86948,                 1.0179,                 0.9165,                0.89481,                0.97369,                0.69988,                 1.0836,                 1.1177,                 1.1152,               0.009703,               0.009703,               0.009703
                      5,                 1.4098,                0.72661,                0.96786,                0.66214,                 0.9837,                 0.8308,                 0.5614,                 1.0784,                0.82948,                 1.0673,               0.009604,               0.009604,               0.009604
                      6,                 1.3129,                0.63546,                0.93657,                0.95292,                0.99014,                0.98849,                 0.8077,                 0.7689,                0.62522,                0.94866,               0.009505,               0.009505,               0.009505
                      7,                 1.2042,                0.59077,                0.91361,                0.90201,                0.97826,                0.98217,                0.80454,                0.72204,                0.66007,                0.89299,               0.009406,               0.009406,               0.009406
                      8,                 1.1385,                0.56326,                0.90499,                0.99642,                0.98913,                0.99495,                0.79018,                0.88525,                0.63566,                0.93142,               0.009307,               0.009307,               0.009307
                      9,                 1.0717,                0.52971,                0.89281,                0.80558,                0.96196,                0.91883,                 0.7029,                0.80778,                0.63156,                0.89863,               0.009208,               0.009208,               0.009208
                     10,                  1.025,                    inf,                0.87269,                0.97119,                0.91619,                0.98401,                0.74128,                0.83794,                0.57661,                0.89902,               0.009109,               0.009109,               0.009109
                     11,                 0.9978,                0.48939,                0.86615,                0.73282,                0.62608,                 0.7412,                0.48485,                 1.2106,                 1.8358,                 1.3026,                0.00901,                0.00901,                0.00901
                     12,                0.98041,                0.47367,                0.86622,                0.91909,                0.98783,                0.98447,                0.79611,                0.85461,                0.60681,                0.87801,               0.008911,               0.008911,               0.008911
                     13,                0.96336,                0.45688,                0.86318,                0.85511,                0.86957,                0.92823,                0.80438,                  0.712,                0.97573,                0.87192,               0.008812,               0.008812,               0.008812
                     14,                0.93416,                0.45237,                0.85546,                0.78503,                0.79387,                0.90683,                0.68091,                 1.0684,                0.98169,                 1.1135,               0.008713,               0.008713,               0.008713
                     15,                0.91259,                0.44929,                0.85562,                0.78546,                0.86957,                0.87525,                0.71871,                0.71273,                0.60148,                0.85861,               0.008614,               0.008614,               0.008614
                     16,                0.89781,                0.44287,                0.85146,                0.82364,                0.89674,                0.94155,                0.65142,                 1.1454,                0.64674,                 1.0244,               0.008515,               0.008515,               0.008515
                     17,                0.88098,                    inf,                0.84277,                0.91272,                0.79571,                0.94175,                0.76194,                 0.7478,                0.70764,                0.85099,               0.008416,               0.008416,               0.008416
                     18,                 0.8492,                0.42423,                0.85309,                0.73704,                0.93478,                0.78811,                0.52675,                 1.0287,                0.68955,                 1.0368,               0.008317,               0.008317,               0.008317
                     19,                0.87134,                0.42376,                0.83886,                 0.9529,                0.98956,                0.99349,                0.68788,                 1.2152,                0.57354,                 1.0279,               0.008218,               0.008218,               0.008218
                     20,                0.84258,                0.41079,                0.84837,                 0.9145,                0.98819,                0.97466,                0.71075,                0.97675,                0.58087,                0.96485,               0.008119,               0.008119,               0.008119
                     21,                0.84695,                0.41274,                0.84601,                 0.8653,                0.90761,                0.94753,                0.66779,                 1.0853,                0.62714,                 1.1325,                0.00802,                0.00802,                0.00802
                     22,                0.80593,                0.39992,                0.83872,                 0.8559,                0.91304,                0.95268,                0.69129,                 1.0678,                0.81007,                 1.1016,               0.007921,               0.007921,               0.007921
                     23,                0.80747,                0.40346,                0.82989,                0.92263,                0.97217,                 0.9641,                 0.8038,                0.79695,                 0.6346,                0.87849,               0.007822,               0.007822,               0.007822
                     24,                0.79209,                0.39269,                0.83347,                0.95853,                0.96739,                0.99236,                0.71951,                 1.0198,                0.61869,                0.92184,               0.007723,               0.007723,               0.007723
                     25,                 0.7761,                    inf,                0.82255,                0.97042,                0.91848,                0.97806,                0.84432,                0.59869,                0.53011,                 0.7985,               0.007624,               0.007624,               0.007624
                     26,                0.79326,                0.39043,                  0.832,                0.58995,                0.98521,                0.60121,                0.48685,                0.81467,                0.71969,                0.89183,               0.007525,               0.007525,               0.007525
                     27,                0.76746,                0.38427,                0.82568,                 0.7703,                0.95109,                0.88865,                0.64542,                 1.0604,                0.72082,                 1.0068,               0.007426,               0.007426,               0.007426
                     28,                 0.7713,                0.38535,                0.83395,                0.85232,                0.94096,                0.97734,                0.79634,                 0.7516,                0.65552,                0.86136,               0.007327,               0.007327,               0.007327
                     29,                0.74792,                 0.3682,                0.83427,                0.86528,                0.92391,                0.95688,                0.70877,                0.90394,                0.61087,                  0.953,               0.007228,               0.007228,               0.007228
                     30,                0.73588,                0.36499,                0.82743,                0.91305,                 0.9837,                0.98894,                0.78049,                0.69815,                0.74868,                0.86805,               0.007129,               0.007129,               0.007129
                     31,                0.73994,                0.36612,                0.82715,                0.91895,                0.92433,                0.96824,                0.79674,                0.76713,                0.74276,                0.85161,                0.00703,                0.00703,                0.00703
                     32,                0.72776,                0.35999,                 0.8219,                0.79585,                0.86866,                0.91534,                 0.6392,                 1.0105,                0.88207,                 1.0441,               0.006931,               0.006931,               0.006931
                     33,                0.73788,                0.36413,                0.82867,                0.90793,                0.96469,                0.97568,                0.69416,                 0.9457,                0.72883,                0.92997,               0.006832,               0.006832,               0.006832
                     34,                0.70822,                0.35385,                0.82459,                0.85904,                0.96052,                 0.9592,                0.78003,                  0.823,                0.70088,                0.90393,               0.006733,               0.006733,               0.006733
