                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7453,                 4.1344,                  3.767,                 0.6259,                0.71708,                0.68744,                0.30914,                 1.9691,                 1.6168,                 3.4601,               0.070171,              0.0033143,              0.0033143
                      1,                 1.4274,                 1.2426,                 1.6381,                0.99501,                      1,                  0.995,                0.84141,                0.76353,                0.82119,                 1.3523,               0.040106,              0.0065818,              0.0065818
                      2,                 1.0085,                0.88044,                  1.178,                0.99862,                      1,                  0.995,                0.83395,                0.78151,                 1.4754,                 1.2552,              0.0099738,              0.0097833,              0.0097833
                      3,                0.87356,                0.73005,                 1.0557,                0.99518,                      1,                  0.995,                0.85411,                0.59244,                0.57481,                 1.0424,               0.009703,               0.009703,               0.009703
                      4,                0.70144,                0.59871,                0.96204,                0.99886,                      1,                  0.995,                0.88876,                0.45766,                0.70164,                0.90119,               0.009703,               0.009703,               0.009703
                      5,                0.62822,                0.49846,                0.92848,                0.99912,                      1,                  0.995,                0.90494,                0.43725,                0.38167,                0.90168,               0.009604,               0.009604,               0.009604
                      6,                0.55781,                0.44993,                0.90324,                0.99907,                      1,                  0.995,                0.96943,                0.30662,                 0.3183,                0.86821,               0.009505,               0.009505,               0.009505
                      7,                 0.5192,                0.41045,                0.87542,                0.99918,                      1,                  0.995,                0.97899,                0.29951,                0.30104,                0.85242,               0.009406,               0.009406,               0.009406
                      8,                0.46862,                0.38337,                0.86411,                0.99921,                      1,                  0.995,                0.99095,                 0.2608,                0.28095,                0.84502,               0.009307,               0.009307,               0.009307
                      9,                0.45937,                0.36494,                0.85958,                0.99923,                      1,                  0.995,                0.93651,                0.33886,                0.31891,                0.83993,               0.009208,               0.009208,               0.009208
                     10,                0.42396,                 0.3437,                0.85167,                0.99917,                      1,                  0.995,                0.99003,                0.22806,                0.23964,                0.82913,               0.009109,               0.009109,               0.009109
