                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9034,                 4.3493,                 3.8919,                0.49991,                0.48554,                0.50066,                0.18026,                 2.4717,                 1.8287,                 2.9925,               0.070171,              0.0033143,              0.0033143
                      1,                  1.911,                 1.7056,                  2.056,                0.82819,                0.95714,                 0.9784,                0.73831,                 1.0645,                 3.4341,                 1.6621,                0.04004,               0.006516,               0.006516
                      2,                  1.379,                 1.2529,                  1.465,                0.99771,                      1,                  0.995,                 0.7612,                 0.7608,                 1.7789,                 1.1967,              0.0097762,              0.0095857,              0.0095857
                      3,                  1.202,                 1.0208,                 1.3143,                0.99921,                      1,                  0.995,                0.87813,                0.57358,                0.68537,                 0.9904,               0.009406,               0.009406,               0.009406
                      4,                  1.075,                0.89201,                  1.231,                0.99598,                      1,                  0.995,                0.87629,                0.52916,                0.49454,                 0.9941,               0.009406,               0.009406,               0.009406
                      5,                0.95062,                0.79565,                 1.1545,                0.99919,                      1,                  0.995,                0.92296,                0.38876,                 0.4312,                0.88322,               0.009208,               0.009208,               0.009208
                      6,                0.90518,                0.76009,                 1.1178,                0.99518,                      1,                  0.995,                0.93441,                0.38813,                0.43921,                0.91465,                0.00901,                0.00901,                0.00901
                      7,                0.85233,                0.71184,                   1.07,                0.99865,                      1,                  0.995,                0.93475,                0.32181,                0.33469,                0.89083,               0.008812,               0.008812,               0.008812
                      8,                0.79839,                0.67653,                 1.0391,                  0.999,                      1,                  0.995,                0.94448,                0.28628,                0.30992,                0.84843,               0.008614,               0.008614,               0.008614
                      9,                0.74719,                0.63727,                 1.0243,                0.99916,                      1,                  0.995,                0.94069,                0.33886,                 0.3014,                  0.844,               0.008416,               0.008416,               0.008416
                     10,                0.71828,                0.61789,                 1.0081,                0.99923,                      1,                  0.995,                0.97146,                0.29855,                0.30403,                0.83439,               0.008218,               0.008218,               0.008218
                     11,                0.70578,                0.61126,                0.98724,                 0.9992,                      1,                  0.995,                0.98332,                0.25883,                0.24285,                0.82351,                0.00802,                0.00802,                0.00802
                     12,                0.67699,                0.58264,                0.97559,                0.99915,                      1,                  0.995,                0.98961,                 0.2513,                0.27081,                0.82807,               0.007822,               0.007822,               0.007822
                     13,                0.66536,                0.58151,                0.97509,                0.99913,                      1,                  0.995,                0.99002,                0.24393,                0.25711,                0.82111,               0.007624,               0.007624,               0.007624
                     14,                0.64459,                 0.5736,                 0.9683,                0.99921,                      1,                  0.995,                0.99026,                 0.2181,                 0.2477,                0.81158,               0.007426,               0.007426,               0.007426
                     15,                0.61923,                0.55457,                0.95987,                0.99921,                      1,                  0.995,                0.97291,                0.26106,                0.23388,                0.82599,               0.007228,               0.007228,               0.007228
